filename;ocr_text;confidence;global_box;source_map
img20250920_20532456_x0_y0_13.jpg;Гришино;0.9255;[[np.int32(368), np.int32(379)], [np.int32(606), np.int32(421)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_14.jpg;Новая;0.7109;[[np.int32(1676), np.int32(362)], [np.int32(1878), np.int32(433)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_15.jpg;36;0.9993;[[np.int32(26), np.int32(387)], [np.int32(142), np.int32(469)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_16.jpg;70;0.9998;[[np.int32(1481), np.int32(388)], [np.int32(1551), np.int32(443)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_17.jpg;64;0.998;[[np.int32(917), np.int32(431)], [np.int32(978), np.int32(477)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_18.jpg;Пискуново (нежил.);0.9485;[[np.int32(1376), np.int32(413)], [np.int32(1950), np.int32(497)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_19.jpg;Жабнино;0.8916;[[np.int32(789), np.int32(484)], [np.int32(1018), np.int32(529)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_20.jpg;ЄГлаз0во;0.8309;[[np.int32(320), np.int32(506)], [np.int32(540), np.int32(549)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_21.jpg;Марково;0.6514;[[np.int32(1488), np.int32(509)], [np.int32(1717), np.int32(564)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_22.jpg;Звягина;0.8714;[[np.int32(805), np.int32(553)], [np.int32(1226), np.int32(624)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_23.jpg;35;0.9986;[[np.int32(1656), np.int32(572)], [np.int32(1731), np.int32(632)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_24.jpg;Селцваново;0.9488;[[np.int32(1081), np.int32(604)], [np.int32(1427), np.int32(656)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_25.jpg;121;0.8167;[[np.int32(1649), np.int32(622)], [np.int32(1739), np.int32(677)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_26.jpg;mb;0.6721;[[np.int32(1485), np.int32(644)], [np.int32(1592), np.int32(746)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_27.jpg;Селифаново;0.8997;[[np.int32(473), np.int32(666)], [np.int32(800), np.int32(715)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_28.jpg;Кapy3a;0.6431;[[np.int32(870), np.int32(662)], [np.int32(1084), np.int32(726)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_29.jpg;Пане;0.6297;[[np.int32(1833), np.int32(679)], [np.int32(2000), np.int32(726)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_30.jpg;Дорохово;0.93;[[np.int32(249), np.int32(725)], [np.int32(486), np.int32(773)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_31.jpg;Дубленьково;0.8901;[[np.int32(864), np.int32(722)], [np.int32(1199), np.int32(777)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_32.jpg;Вылазово=;0.9147;[[np.int32(1276), np.int32(734)], [np.int32(1661), np.int32(782)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_33.jpg;Скоморорсово;0.895;[[np.int32(1559), np.int32(806)], [np.int32(1898), np.int32(856)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_34.jpg;Медведово;0.8418;[[np.int32(934), np.int32(854)], [np.int32(1177), np.int32(903)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_35.jpg;85;0.9989;[[np.int32(782), np.int32(868)], [np.int32(849), np.int32(918)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_36.jpg;32;0.9994;[[np.int32(40), np.int32(882)], [np.int32(155), np.int32(966)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_37.jpg;Баткодо;0.8567;[[np.int32(978), np.int32(922)], [np.int32(1244), np.int32(978)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_38.jpg;Лукино;0.861;[[np.int32(1523), np.int32(923)], [np.int32(1754), np.int32(976)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_39.jpg;Лябино;0.9601;[[np.int32(1388), np.int32(1021)], [np.int32(1620), np.int32(1080)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_40.jpg;A124;0.8915;[[np.int32(1628), np.int32(1025)], [np.int32(1752), np.int32(1073)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_41.jpg;оз.Баткаское;0.8414;[[np.int32(952), np.int32(1038)], [np.int32(1340), np.int32(1085)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_42.jpg;Буруны;0.7794;[[np.int32(396), np.int32(1046)], [np.int32(635), np.int32(1107)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_43.jpg;Устиново;0.9314;[[np.int32(987), np.int32(1130)], [np.int32(1331), np.int32(1184)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_44.jpg;Крылово;0.9697;[[np.int32(338), np.int32(1148)], [np.int32(601), np.int32(1212)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_45.jpg;Свистогузово;0.9489;[[np.int32(1041), np.int32(1194)], [np.int32(1493), np.int32(1258)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_46.jpg;Бурюли;0.6555;[[np.int32(545), np.int32(1280)], [np.int32(818), np.int32(1372)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_47.jpg;Дупли;0.7194;[[np.int32(880), np.int32(1281)], [np.int32(1084), np.int32(1339)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_48.jpg;Коношовка;0.9438;[[np.int32(1348), np.int32(1328)], [np.int32(1689), np.int32(1371)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_49.jpg;28;0.9995;[[np.int32(31), np.int32(1378)], [np.int32(148), np.int32(1466)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_50.jpg;о3.АлтУн;0.6245;[[np.int32(1563), np.int32(1405)], [np.int32(1994), np.int32(1457)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_51.jpg;Брюхрво;0.8115;[[np.int32(1033), np.int32(1427)], [np.int32(1288), np.int32(1471)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_52.jpg;Хохлы;0.9779;[[np.int32(459), np.int32(1462)], [np.int32(682), np.int32(1523)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_53.jpg;Цецы;0.7899;[[np.int32(802), np.int32(1483)], [np.int32(979), np.int32(1546)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_54.jpg;Козаны;0.9229;[[np.int32(1004), np.int32(1506)], [np.int32(1243), np.int32(1568)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_55.jpg;Алтўн;0.7213;[[np.int32(1274), np.int32(1511)], [np.int32(1504), np.int32(1567)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_56.jpg;Барашкино;0.9501;[[np.int32(297), np.int32(1559)], [np.int32(611), np.int32(1613)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_57.jpg;A38;0.9215;[[np.int32(258), np.int32(1616)], [np.int32(380), np.int32(1667)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_58.jpg;Дежнево;0.8969;[[np.int32(678), np.int32(1608)], [np.int32(939), np.int32(1660)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_59.jpg;Зддолж;0.8911;[[np.int32(1746), np.int32(1653)], [np.int32(1998), np.int32(1701)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_60.jpg;не Горы 5 км;0.7583;[[np.int32(131), np.int32(1695)], [np.int32(236), np.int32(2000)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_61.jpg;Литово;0.6358;[[np.int32(1382), np.int32(1693)], [np.int32(1548), np.int32(1747)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_62.jpg;Бурлово;0.7147;[[np.int32(285), np.int32(1761)], [np.int32(531), np.int32(1832)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_63.jpg;108;0.9915;[[np.int32(1293), np.int32(1797)], [np.int32(1376), np.int32(1850)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_64.jpg;Сермолы;0.8964;[[np.int32(638), np.int32(1823)], [np.int32(897), np.int32(1871)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_65.jpg;Седухино;0.8992;[[np.int32(1370), np.int32(1864)], [np.int32(1667), np.int32(1917)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_66.jpg;ундрофка;0.7176;[[np.int32(1030), np.int32(1888)], [np.int32(1266), np.int32(1930)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_67.jpg;Куялы(;0.7999;[[np.int32(822), np.int32(1930)], [np.int32(1028), np.int32(1983)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_68.jpg;нежири;0.6635;[[np.int32(1030), np.int32(1927)], [np.int32(1254), np.int32(1976)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_69.jpg;Новино;0.8758;[[np.int32(1989), np.int32(1)], [np.int32(2181), np.int32(57)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_70.jpg;Ковц;0.9574;[[np.int32(3273), np.int32(13)], [np.int32(3478), np.int32(72)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_71.jpg;Карпилово;0.9458;[[np.int32(2894), np.int32(41)], [np.int32(3167), np.int32(101)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_72.jpg;52;0.9969;[[np.int32(1634), np.int32(70)], [np.int32(1756), np.int32(149)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_73.jpg;Корнышен;0.9598;[[np.int32(3074), np.int32(132)], [np.int32(3419), np.int32(191)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_74.jpg;Степаново;0.9812;[[np.int32(2453), np.int32(128)], [np.int32(2725), np.int32(186)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_75.jpg;Остров 45 нм;0.8818;[[np.int32(1788), np.int32(175)], [np.int32(1863), np.int32(444)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_76.jpg;Долгочи;0.9706;[[np.int32(1879), np.int32(233)], [np.int32(2102), np.int32(288)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_77.jpg;Пустошка;0.7423;[[np.int32(2486), np.int32(242)], [np.int32(2801), np.int32(310)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_78.jpg;157.;0.9429;[[np.int32(2225), np.int32(275)], [np.int32(2323), np.int32(334)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_79.jpg;Себрово;0.9726;[[np.int32(2904), np.int32(279)], [np.int32(3171), np.int32(358)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_80.jpg;Филко;0.9019;[[np.int32(3417), np.int32(324)], [np.int32(3600), np.int32(370)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_81.jpg;Никитино;0.6754;[[np.int32(2707), np.int32(352)], [np.int32(3026), np.int32(397)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_82.jpg;(Речево;0.7157;[[np.int32(3097), np.int32(356)], [np.int32(3359), np.int32(411)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_83.jpg;Ифаково;0.6305;[[np.int32(2725), np.int32(384)], [np.int32(3125), np.int32(481)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_84.jpg;Морозы;0.818;[[np.int32(3016), np.int32(465)], [np.int32(3246), np.int32(525)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_85.jpg;Попово;0.8729;[[np.int32(2575), np.int32(490)], [np.int32(2758), np.int32(541)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_86.jpg;48;0.9991;[[np.int32(1634), np.int32(550)], [np.int32(1757), np.int32(635)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_87.jpg;Пфгорелово;0.8469;[[np.int32(2776), np.int32(611)], [np.int32(3177), np.int32(682)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_88.jpg;Вахрамеево;0.7742;[[np.int32(1948), np.int32(627)], [np.int32(2318), np.int32(683)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_89.jpg;89;0.9941;[[np.int32(3389), np.int32(619)], [np.int32(3458), np.int32(669)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_90.jpg;Шараново;0.881;[[np.int32(2195), np.int32(662)], [np.int32(2508), np.int32(728)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_91.jpg;Деревицы;0.8702;[[np.int32(2780), np.int32(672)], [np.int32(3163), np.int32(768)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_92.jpg;A157;0.8672;[[np.int32(1973), np.int32(740)], [np.int32(2122), np.int32(821)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_93.jpg;Выбор;0.7154;[[np.int32(3271), np.int32(735)], [np.int32(3469), np.int32(821)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_94.jpg;Савино;0.7281;[[np.int32(2148), np.int32(760)], [np.int32(2471), np.int32(819)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_95.jpg;03.Pa3;0.8047;[[np.int32(2463), np.int32(765)], [np.int32(2677), np.int32(819)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_96.jpg;Щербихино;0.7541;[[np.int32(1857), np.int32(811)], [np.int32(2213), np.int32(1029)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_97.jpg;Стредкин;0.9821;[[np.int32(2605), np.int32(853)], [np.int32(2978), np.int32(911)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_98.jpg;Фатьяново;0.9084;[[np.int32(3113), np.int32(823)], [np.int32(3581), np.int32(940)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_99.jpg;Алолье;0.887;[[np.int32(2278), np.int32(870)], [np.int32(2509), np.int32(923)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_100.jpg;ЖБ;0.8144;[[np.int32(2823), np.int32(914)], [np.int32(2910), np.int32(960)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_101.jpg;65;0.7784;[[np.int32(2926), np.int32(940)], [np.int32(2984), np.int32(985)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_102.jpg;Басино;0.8378;[[np.int32(2925), np.int32(1001)], [np.int32(3163), np.int32(1049)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_103.jpg;Лужкрво;0.7734;[[np.int32(2716), np.int32(1025)], [np.int32(3038), np.int32(1109)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_104.jpg;Плещатица;0.8738;[[np.int32(1855), np.int32(1053)], [np.int32(2198), np.int32(1099)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_105.jpg;Paxi;0.9089;[[np.int32(3406), np.int32(1040)], [np.int32(3585), np.int32(1103)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_106.jpg;44;0.9979;[[np.int32(1632), np.int32(1057)], [np.int32(1786), np.int32(1151)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_107.jpg;Копылово;0.923;[[np.int32(2528), np.int32(1076)], [np.int32(2856), np.int32(1138)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_108.jpg;Рогатино;0.7982;[[np.int32(1985), np.int32(1165)], [np.int32(2300), np.int32(1223)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_109.jpg;BuBka;0.6637;[[np.int32(1954), np.int32(1262)], [np.int32(2155), np.int32(1331)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_110.jpg;Клин;0.7436;[[np.int32(2505), np.int32(1321)], [np.int32(2682), np.int32(1382)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_111.jpg;22-10;0.997;[[np.int32(2116), np.int32(1350)], [np.int32(2249), np.int32(1407)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_112.jpg;ЖБ;0.9173;[[np.int32(2056), np.int32(1380)], [np.int32(2136), np.int32(1431)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_113.jpg;20;0.9997;[[np.int32(2149), np.int32(1407)], [np.int32(2216), np.int32(1458)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_114.jpg;Семенн;0.9212;[[np.int32(3384), np.int32(1443)], [np.int32(3600), np.int32(1498)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_115.jpg;Бол;0.9054;[[np.int32(3101), np.int32(1496)], [np.int32(3225), np.int32(1557)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_116.jpg;57°;0.9081;[[np.int32(1701), np.int32(1548)], [np.int32(1834), np.int32(1638)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_117.jpg;Кураново;0.708;[[np.int32(2730), np.int32(1576)], [np.int32(3044), np.int32(1649)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_118.jpg;Mah;0.9422;[[np.int32(3437), np.int32(1561)], [np.int32(3586), np.int32(1622)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_119.jpg;40;0.8253;[[np.int32(1605), np.int32(1600)], [np.int32(1752), np.int32(1699)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_120.jpg;Елисеево;0.6778;[[np.int32(3105), np.int32(1609)], [np.int32(3385), np.int32(1664)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_121.jpg;Ягодино;0.9436;[[np.int32(1857), np.int32(1777)], [np.int32(2124), np.int32(1827)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_122.jpg;Размесово;0.7136;[[np.int32(2387), np.int32(1794)], [np.int32(2709), np.int32(1843)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_123.jpg;Крюково;0.9389;[[np.int32(1832), np.int32(1836)], [np.int32(2121), np.int32(1896)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_124.jpg;32-3;0.9981;[[np.int32(2593), np.int32(1839)], [np.int32(2710), np.int32(1883)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_125.jpg;Усадище;0.9529;[[np.int32(2433), np.int32(1913)], [np.int32(2727), np.int32(1972)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_126.jpg;A38;0.8677;[[np.int32(2223), np.int32(1929)], [np.int32(2350), np.int32(1989)]];img20250920_20532456.tif
img20250920_20532456_x1600_y0_127.jpg;Харитоново;0.9406;[[np.int32(3086), np.int32(1927)], [np.int32(3434), np.int32(1991)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_128.jpg;Яковле;0.9591;[[np.int32(4273), np.int32(0)], [np.int32(4334), np.int32(232)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_129.jpg;090xl;0.6449;[[np.int32(4390), np.int32(11)], [np.int32(4456), np.int32(211)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_130.jpg;Себрово;0.9078;[[np.int32(4831), np.int32(262)], [np.int32(4961), np.int32(577)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_131.jpg;Тетерино;0.693;[[np.int32(4288), np.int32(373)], [np.int32(4372), np.int32(691)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_132.jpg;Бороносово;0.9384;[[np.int32(4379), np.int32(597)], [np.int32(4455), np.int32(944)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_133.jpg;Пустошка;0.6572;[[np.int32(4756), np.int32(674)], [np.int32(4839), np.int32(1030)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_134.jpg;ónnmnd;0.6168;[[np.int32(4125), np.int32(1101)], [np.int32(4198), np.int32(1366)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_135.jpg;пинпиораф;0.6389;[[np.int32(4006), np.int32(1335)], [np.int32(4060), np.int32(1635)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_136.jpg;090;0.9399;[[np.int32(4097), np.int32(1388)], [np.int32(4160), np.int32(1491)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_137.jpg;ohnuhu;0.6565;[[np.int32(4234), np.int32(1418)], [np.int32(4288), np.int32(1665)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_138.jpg;29°00°;0.8483;[[np.int32(3535), np.int32(1549)], [np.int32(3611), np.int32(1774)]];img20250920_20532456.tif
img20250920_20532456_x2962_y0_139.jpg;Остров 45 им;0.8851;[[np.int32(4614), np.int32(1674)], [np.int32(4930), np.int32(1765)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_140.jpg;Старбселье;0.9116;[[np.int32(922), np.int32(1600)], [np.int32(1245), np.int32(1657)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_141.jpg;фоонхри;0.6251;[[np.int32(1455), np.int32(1649)], [np.int32(1723), np.int32(1724)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_142.jpg;HOBOPЖEB;0.7067;[[np.int32(338), np.int32(1776)], [np.int32(689), np.int32(1867)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_143.jpg;o90xo1g;0.7088;[[np.int32(1014), np.int32(1806)], [np.int32(1262), np.int32(1872)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_144.jpg;Манушкино;0.8708;[[np.int32(1065), np.int32(1874)], [np.int32(1356), np.int32(1937)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_145.jpg;Песчивицы;0.8255;[[np.int32(144), np.int32(1939)], [np.int32(503), np.int32(1997)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_146.jpg;cap.;0.9528;[[np.int32(1507), np.int32(1955)], [np.int32(1605), np.int32(2000)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_147.jpg;69;0.998;[[np.int32(596), np.int32(1965)], [np.int32(651), np.int32(2013)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_148.jpg;03.0pw;0.7745;[[np.int32(462), np.int32(1845)], [np.int32(700), np.int32(2055)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_149.jpg;6-18;0.7574;[[np.int32(1215), np.int32(2051)], [np.int32(1306), np.int32(2106)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_150.jpg;ноштан;0.6242;[[np.int32(517), np.int32(2091)], [np.int32(754), np.int32(2143)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_151.jpg;nmnwk;0.6059;[[np.int32(80), np.int32(2119)], [np.int32(320), np.int32(2192)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_152.jpg;онпятон;0.6528;[[np.int32(732), np.int32(2169)], [np.int32(1032), np.int32(2224)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_153.jpg;BopoHkoBa-;0.7445;[[np.int32(992), np.int32(2272)], [np.int32(1300), np.int32(2335)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_154.jpg;85-4;0.6002;[[np.int32(1604), np.int32(2225)], [np.int32(1737), np.int32(2328)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_155.jpg;Сухлово;0.6083;[[np.int32(1215), np.int32(2335)], [np.int32(1609), np.int32(2439)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_156.jpg;о9ой;0.6643;[[np.int32(1888), np.int32(2390)], [np.int32(1999), np.int32(2431)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_157.jpg;090919;0.6154;[[np.int32(963), np.int32(2565)], [np.int32(1140), np.int32(2611)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_158.jpg;онпяжодо;0.6843;[[np.int32(1621), np.int32(2581)], [np.int32(1948), np.int32(2655)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_159.jpg;DHyomdO;0.6151;[[np.int32(632), np.int32(2372)], [np.int32(782), np.int32(2636)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_160.jpg;Доманово;0.8287;[[np.int32(841), np.int32(2627)], [np.int32(1039), np.int32(2685)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_161.jpg;090:;0.8742;[[np.int32(1917), np.int32(2724)], [np.int32(2000), np.int32(2760)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_162.jpg;nnngddiw;0.6041;[[np.int32(951), np.int32(2761)], [np.int32(1233), np.int32(2837)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_163.jpg;Тараскино;0.7897;[[np.int32(1124), np.int32(2930)], [np.int32(1415), np.int32(2981)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_164.jpg;Hmdm;0.7104;[[np.int32(787), np.int32(3076)], [np.int32(1022), np.int32(3163)]];img20250920_20532456.tif
img20250920_20532456_x0_y1600_165.jpg;онпяти;0.7332;[[np.int32(1509), np.int32(3216)], [np.int32(1812), np.int32(3276)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_166.jpg;Туровец;0.7249;[[np.int32(2693), np.int32(1600)], [np.int32(2911), np.int32(1671)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_167.jpg;Огородниково;0.9141;[[np.int32(1866), np.int32(1608)], [np.int32(2205), np.int32(1669)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_168.jpg;15;0.9935;[[np.int32(2659), np.int32(1660)], [np.int32(2707), np.int32(1716)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_169.jpg;éль;0.8723;[[np.int32(2538), np.int32(1681)], [np.int32(2606), np.int32(1733)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_170.jpg;Шикени;0.9298;[[np.int32(1841), np.int32(1698)], [np.int32(2088), np.int32(1757)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_171.jpg;Дренино;0.8053;[[np.int32(3100), np.int32(1689)], [np.int32(3312), np.int32(1747)]];img20250920_20532456.tif
img20250920_20532456_x1600_y1600_172.jpg;0.20;0.9433;[[np.int32(2636), np.int32(1712)], [np.int32(2748), np.int32(1782)]];img20250920_20532456.tif
